StartTime,EndTime,Device,SensorName,TotalCount
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #1,2077
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #2,2083
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #3,2087
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #4,2086
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #5,2091
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #6,2090
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #7,2167
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #8,2169
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #9,2088
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #10,2088
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #11,2092
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #12,2096
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #13,2089
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #14,2607
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #15,2030
2020-11-20 06:43:32.869973,2020-11-20 07:13:32.870026,skywave,Sensor #16,2079
