StartTime,EndTime,Device,SensorName,TotalCount
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #1,1746
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #2,1751
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #3,1744
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #4,1752
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #5,1761
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #6,1759
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #7,1978
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #8,1952
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #9,1773
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #10,1758
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #11,1766
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #12,1771
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #13,1753
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #14,2400
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #15,1692
2020-11-19 19:43:32.808731,2020-11-19 20:13:32.808793,skywave,Sensor #16,1744
