StartTime,EndTime,Device,SensorName,TotalCount
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #1,1988
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #2,1996
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #3,1997
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #4,2002
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #5,2005
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #6,2002
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #7,2066
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #8,2052
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #9,2004
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #10,1998
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #11,2011
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #12,2013
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #13,2000
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #14,2679
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #15,1952
2020-11-20 00:43:32.849716,2020-11-20 01:13:32.849795,skywave,Sensor #16,1992
