StartTime,EndTime,Device,SensorName,TotalCount
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #1,1907
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #2,1910
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #3,1910
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #4,1914
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #5,1915
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #6,1915
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #7,1989
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #8,1984
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #9,1923
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #10,1915
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #11,1922
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #12,1921
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #13,1914
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #14,2455
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #15,1856
2020-11-20 04:43:32.867508,2020-11-20 05:13:32.867576,skywave,Sensor #16,1906
