StartTime,EndTime,Device,SensorName,TotalCount
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #1,1855
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #2,1858
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #3,1858
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #4,1865
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #5,1868
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #6,1864
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #7,1939
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #8,1926
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #9,1873
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #10,1864
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #11,1874
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #12,1875
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #13,1861
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #14,2378
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #15,1815
2020-11-20 03:13:32.853173,2020-11-20 03:43:32.853240,skywave,Sensor #16,1856
