StartTime,EndTime,Device,SensorName,TotalCount
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #1,1800
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #2,1801
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #3,1801
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #4,1802
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #5,1805
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #6,1805
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #7,1832
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #8,1836
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #9,1808
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #10,1806
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #11,1807
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #12,1805
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #13,1804
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #14,2278
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #15,1790
2020-11-20 10:13:32.874789,2020-11-20 10:43:32.874862,skywave,Sensor #16,1800
