StartTime,EndTime,Device,SensorName,TotalCount
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #1,1974
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #2,1979
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #3,1981
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #4,1985
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #5,1988
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #6,1986
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #7,2065
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #8,2052
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #9,1990
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #10,1985
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #11,1993
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #12,1995
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #13,1982
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #14,2506
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #15,1945
2020-11-19 19:13:32.808086,2020-11-19 19:43:32.808158,skywave,Sensor #16,1972
