StartTime,EndTime,Device,SensorName,TotalCount
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #1,2073
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #2,2079
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #3,2076
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #4,2084
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #5,2090
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #6,2087
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #7,2197
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #8,2183
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #9,2095
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #10,2088
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #11,2092
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #12,2095
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #13,2086
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #14,2694
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #15,2012
2020-11-19 23:13:32.847787,2020-11-19 23:43:32.847827,skywave,Sensor #16,2071
