StartTime,EndTime,Device,SensorName,TotalCount
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #1,196
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #2,142
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #3,102
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #4,55
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #5,41
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #6,37
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #7,101
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #8,198
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #9,111
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #10,59
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #11,67
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #12,129
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #13,54
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #14,106
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #15,53
2020-11-19 17:13:32.790468,2020-11-19 17:43:32.790542,skywave,Sensor #16,74
