StartTime,EndTime,Device,SensorName,TotalCount
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #1,2019
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #2,2025
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #3,2023
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #4,2033
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #5,2037
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #6,2033
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #7,2103
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #8,2095
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #9,2039
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #10,2031
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #11,2036
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #12,2041
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #13,2029
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #14,2595
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #15,1988
2020-11-20 01:13:32.850459,2020-11-20 01:43:32.850537,skywave,Sensor #16,2017
