StartTime,EndTime,Device,SensorName,TotalCount
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #1,1800
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #2,1806
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #3,1808
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #4,1816
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #5,1818
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #6,1820
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #7,1823
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #8,1821
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #9,1806
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #10,1811
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #11,1814
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #12,1823
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #13,1809
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #14,2339
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #15,1807
2020-11-20 10:52:29.595558,2020-11-20 11:22:29.595631,skywave,Sensor #16,1796
