StartTime,EndTime,Device,SensorName,TotalCount
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #1,1937
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #2,1942
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #3,1942
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #4,1944
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #5,1945
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #6,1945
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #7,1981
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #8,1978
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #9,1947
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #10,1947
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #11,1951
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #12,1953
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #13,1945
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #14,2507
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #15,1917
2020-11-20 02:43:32.852451,2020-11-20 03:13:32.852512,skywave,Sensor #16,1934
